St_Code;Lat_dec;Long_dec
304;29664;55.1;90.8333333333333
305;29698;54.8833333333333;99.0333333333333
306;29752;54.75;88.8166666666667
307;29789;54.2166666666667;96.9666666666667
308;29807;53.35;75.45
309;29822;53.8166666666667;81.2666666666667
310;29838;53.4333333333333;83.5166666666667
311;29849;53.3333333333333;87.1833333333333
312;29858;53.2833333333333;89.0666666666667
313;29862;53.7666666666667;91.3166666666667
314;29866;53.7166666666667;91.7
315;29915;52.9666666666667;78.65
316;29923;53.0833333333333;82.3333333333333
317;29939;52.6833333333333;84.9333333333333
318;29974;52.8;93.2333333333333
319;29998;52.5;99.8166666666667
320;30028;59.2833333333333;106.166666666667
321;30054;59.45;112.583333333333
322;30069;59;116.916666666667
323;30089;59.0166666666667;121.766666666667
324;30209;57.0333333333333;102.3
325;30219;57.1;104.966666666667
326;30230;57.7666666666667;108.066666666667
327;30252;57.8166666666667;114.166666666667
328;30253;57.85;114.233333333333
329;30309;56.2833333333333;101.75
330;30328;56.05;105.833333333333
331;30337;56.2833333333333;107.616666666667
332;30356;56.3833333333333;114.833333333333
333;30372;56.9;118.266666666667
334;30385;56.5833333333333;121.483333333333
